anio,mes,lugar,pm25_mgm
2021,Enero,Santa Anita,69.6728092650104
2021,Enero,Villa Maria del Triunfo,NA
2021,Enero,Huachipa,NA
2021,Enero,San Juan de Lurigancho,NA
2021,Enero,San Martin de Porres,NA
2021,Enero,Carabayllo,NA
2021,Enero,Puente Piedra,NA
2021,Febrero,Ate,NA
2021,Febrero,San Borja,NA
2021,Febrero,Jesus Maria (Campo de Marte),76.2941967418546
2021,Febrero,Santa Anita,118.392630749842
2021,Febrero,Villa Maria del Triunfo,NA
2021,Febrero,Huachipa,NA
2021,Febrero,San Juan de Lurigancho,NA
2021,Febrero,San Martin de Porres,NA
2021,Febrero,Carabayllo,NA
2021,Febrero,Puente Piedra,NA
2021,Julio,Ate,NA
2021,Julio,San Borja,NA
2021,Julio,Jesus Maria (Campo de Marte),NA
2021,Julio,Santa Anita,50.43785906298
2021,Julio,Villa Maria del Triunfo,NA
2021,Julio,Huachipa,NA
2021,Julio,San Juan de Lurigancho,NA
2021,Julio,San Martin de Porres,NA
2021,Julio,Carabayllo,69.776257581735507
2021,Julio,Puente Piedra,NA
2021,Junio,Ate,NA
2021,Junio,San Borja,NA
2021,Junio,Jesus Maria (Campo de Marte),21.5591080674347
2021,Junio,Santa Anita,56.3200795138145
2021,Junio,Villa Maria del Triunfo,NA
2021,Junio,Huachipa,NA
2021,Junio,San Juan de Lurigancho,NA
2021,Junio,San Martin de Porres,NA
2021,Junio,Carabayllo,NA
2021,Junio,Puente Piedra,NA
2021,Marzo,Ate,NA
2021,Marzo,San Borja,NA
2021,Marzo,Jesus Maria (Campo de Marte),20.7003157971014
2021,Marzo,Santa Anita,70.4730888478048
2021,Marzo,Villa Maria del Triunfo,NA
2021,Marzo,Huachipa,NA
2021,Marzo,San Juan de Lurigancho,NA
2021,Marzo,San Martin de Porres,NA
2021,Marzo,Carabayllo,NA
2021,Marzo,Puente Piedra,NA
2021,Mayo,Ate,NA
2021,Mayo,San Borja,NA
2021,Mayo,Jesus Maria (Campo de Marte),27.1123644659152
2021,Mayo,Santa Anita,100.447587948329
2021,Mayo,Villa Maria del Triunfo,NA
2021,Mayo,Huachipa,NA
2021,Mayo,San Juan de Lurigancho,NA
2021,Mayo,San Martin de Porres,NA
2021,Mayo,Carabayllo,NA
2021,Mayo,Puente Piedra,NA
2021,Noviembre,Ate,NA
2021,Noviembre,San Borja,NA
2021,Noviembre,Jesus Maria (Campo de Marte),NA
2021,Noviembre,Santa Anita,NA
2021,Noviembre,Villa Maria del Triunfo,NA
2021,Noviembre,Huachipa,NA
2021,Noviembre,San Juan de Lurigancho,NA
2021,Noviembre,San Martin de Porres,NA
2021,Noviembre,Carabayllo,NA
2021,Noviembre,Puente Piedra,NA
2021,Octubre,Ate,NA
2021,Octubre,San Borja,NA
2021,Octubre,Jesus Maria (Campo de Marte),NA
2021,Octubre,Santa Anita,NA
2021,Octubre,Villa Maria del Triunfo,NA
2021,Octubre,Huachipa,NA
2021,Octubre,San Juan de Lurigancho,NA
2021,Octubre,San Martin de Porres,NA
2021,Octubre,Carabayllo,NA
2021,Octubre,Puente Piedra,NA
2021,Setiembre,Ate,NA
2021,Setiembre,San Borja,82.8259051724138
2021,Setiembre,Jesus Maria (Campo de Marte),NA
2021,Setiembre,Santa Anita,124.36878968254
2021,Setiembre,Villa Maria del Triunfo,NA
2021,Setiembre,Huachipa,NA
2021,Setiembre,San Juan de Lurigancho,NA
2021,Setiembre,San Martin de Porres,NA
2021,Setiembre,Carabayllo,NA
2021,Setiembre,Puente Piedra,NA
2022,Abril,Ate,NA
2022,Abril,San Borja,71.4512666666667
2022,Abril,Jesus Maria (Campo de Marte),24.867693236715
2022,Abril,Santa Anita,51.8906814449918
2022,Abril,Villa Maria del Triunfo,83.908152173913
2022,Abril,Huachipa,NA
2022,Abril,San Juan de Lurigancho,52.0403591954023
2022,Abril,San Martin de Porres,35.6312916666667
2022,Abril,Carabayllo,89.2801851851852
2022,Abril,Puente Piedra,NA
2022,Agosto,Ate,NA
2022,Agosto,San Borja,108.449317841458
2022,Agosto,Jesus Maria (Campo de Marte),26.5507551929478
2022,Agosto,Santa Anita,76.5420484274097
2022,Agosto,Villa Maria del Triunfo,70.1316484439598
2022,Agosto,Huachipa,NA
2022,Agosto,San Juan de Lurigancho,80.6041102503294
2022,Agosto,San Martin de Porres,42.1709102669204
2022,Agosto,Carabayllo,79.0251939108476
2022,Agosto,Puente Piedra,NA
2022,Diciembre,Ate,NA
2022,Diciembre,San Borja,49.9833880317906
2022,Diciembre,Jesus Maria (Campo de Marte),21.5061407046477
2022,Diciembre,Santa Anita,54.0083400331263
2022,Diciembre,Villa Maria del Triunfo,68.9930956755493
2022,Diciembre,Huachipa,NA
2022,Diciembre,San Juan de Lurigancho,51.4920891070594
2022,Diciembre,San Martin de Porres,25.380446478105
2022,Diciembre,Carabayllo,62.4591353889382
2022,Diciembre,Puente Piedra,NA
2022,Febrero,Ate,NA
2022,Febrero,San Borja,62.6750409090909
2022,Febrero,Jesus Maria (Campo de Marte),15.3714415113872
2022,Febrero,Santa Anita,43.4545713902308
2022,Febrero,Villa Maria del Triunfo,58.9163888888889
2022,Febrero,Huachipa,NA
2022,Febrero,San Juan de Lurigancho,65.38196
2022,Febrero,San Martin de Porres,39.7372222222222
2022,Febrero,Carabayllo,46.9023397435897
2022,Febrero,Puente Piedra,NA
2022,Julio,Ate,NA
2022,Julio,San Borja,81.7766034937888
2022,Julio,Jesus Maria (Campo de Marte),24.361373748931
2022,Julio,Santa Anita,67.6680738789696
2022,Julio,Villa Maria del Triunfo,69.5678511994003
2022,Julio,Huachipa,NA
2022,Julio,San Juan de Lurigancho,78.3337811594203
2022,Julio,San Martin de Porres,38.990721352657
2022,Julio,Carabayllo,50.2017263285024
2022,Julio,Puente Piedra,NA
2022,Junio,Ate,NA
2022,Junio,San Borja,93.2426220538721
2022,Junio,Jesus Maria (Campo de Marte),28.7501041666667
2022,Junio,Santa Anita,79.0936456927575
2022,Junio,Villa Maria del Triunfo,47.5382614942529
2022,Junio,Huachipa,NA
2022,Junio,San Juan de Lurigancho,65.9506896551724
2022,Junio,San Martin de Porres,46.4662885662432
2022,Junio,Carabayllo,51.7682614942529
2022,Junio,Puente Piedra,NA
2022,Marzo,Ate,NA
2022,Marzo,San Borja,67.6096067716142
2022,Marzo,Jesus Maria (Campo de Marte),13.8792564286039
2022,Marzo,Santa Anita,39.4970450444133
2022,Marzo,Villa Maria del Triunfo,62.5404719323671
2022,Marzo,Huachipa,NA
2022,Marzo,San Juan de Lurigancho,51.7255332164563
2022,Marzo,San Martin de Porres,38.8643472899914
2022,Marzo,Carabayllo,27.4771010518934
2022,Marzo,Puente Piedra,NA
2022,Mayo,Ate,NA
2022,Mayo,San Borja,89.5341203703704
2022,Mayo,Jesus Maria (Campo de Marte),31.1007996175523
2022,Mayo,Santa Anita,78.3978544372294
2022,Mayo,Villa Maria del Triunfo,84.2050138888889
2022,Mayo,Huachipa,NA
2022,Mayo,San Juan de Lurigancho,81.6343279569893
2022,Mayo,San Martin de Porres,46.9410887096774
2022,Mayo,Carabayllo,86.1662365591398
2022,Mayo,Puente Piedra,NA
2022,Octubre,Ate,NA
2022,Octubre,San Borja,115.783253423288
2022,Octubre,Jesus Maria (Campo de Marte),22.00375
2022,Octubre,Santa Anita,68.6120955486542
2022,Octubre,Villa Maria del Triunfo,60.0528070749571
2022,Octubre,Huachipa,NA
2022,Octubre,San Juan de Lurigancho,70.9571597942964
2022,Octubre,San Martin de Porres,37.242640782297
2022,Octubre,Carabayllo,76.0580290322581
2022,Octubre,Puente Piedra,NA
2022,Setiembre,Ate,NA
2022,Setiembre,San Borja,136.017341269841
2022,Setiembre,Jesus Maria (Campo de Marte),23.5650833333333
2022,Setiembre,Santa Anita,70.2366710758377
2022,Setiembre,Villa Maria del Triunfo,51.3115326479076
2022,Setiembre,Huachipa,NA
2022,Setiembre,San Juan de Lurigancho,74.6778395061728
2022,Setiembre,San Martin de Porres,40.5042013888889
2022,Setiembre,Carabayllo,75.2549444444444
2022,Setiembre,Puente Piedra,NA
